dataset,year,group,n,mean,sd,min,max
ACWF,1990,all,23722,0.4438,0.1653,0.0,1.0
ACWF,1990,female,12464,0.4341,0.1664,0.0,1.0
ACWF,1990,male,11258,0.4545,0.1634,0.0312,1.0
ACWF,2000,all,19283,0.3588,0.1753,0.0,1.0
ACWF,2000,female,10487,0.3453,0.1737,0.0,1.0
ACWF,2000,male,8796,0.3749,0.1758,0.0,1.0
ACWF,2010,all,26021,0.4493,0.1286,0.0,1.0
ACWF,2010,female,13437,0.439,0.1311,0.0,1.0
ACWF,2010,male,12584,0.4602,0.125,0.0,0.9524
CFPS,2014,all,31554,0.5982,0.1737,0.0,1.0
CFPS,2014,female,16074,0.6034,0.1759,0.0,1.0
CFPS,2014,male,15480,0.5928,0.1713,0.0,1.0
CFPS,2020,all,22692,0.5348,0.1992,0.0,1.0
CFPS,2020,female,11303,0.5219,0.213,0.0,1.0
CFPS,2020,male,11389,0.5476,0.1837,0.0,1.0
CGSS,2010,all,11761,0.4457,0.1808,0.0,1.0
CGSS,2010,female,6094,0.4405,0.1863,0.0,1.0
CGSS,2010,male,5667,0.4514,0.1745,0.0,1.0
CGSS,2012,all,11755,0.4458,0.1671,0.0,1.0
CGSS,2012,female,5739,0.4377,0.1744,0.0,1.0
CGSS,2012,male,6016,0.4536,0.1595,0.0,1.0
CGSS,2013,all,11424,0.4494,0.1701,0.0,1.0
CGSS,2013,female,5673,0.4389,0.1746,0.0,1.0
CGSS,2013,male,5751,0.4597,0.1649,0.0,1.0
CGSS,2015,all,10951,0.4473,0.1722,0.0,1.0
CGSS,2015,female,5824,0.4387,0.18,0.0,1.0
CGSS,2015,male,5127,0.457,0.1625,0.0,1.0
CGSS,2017,all,12558,0.4208,0.1884,0.0,1.0
CGSS,2017,female,6633,0.405,0.1957,0.0,1.0
CGSS,2017,male,5925,0.4386,0.1781,0.0,1.0
CGSS,2018,all,12766,0.4122,0.1831,0.0,1.0
CGSS,2018,female,6804,0.4004,0.1928,0.0,1.0
CGSS,2018,male,5962,0.4256,0.1704,0.0,1.0
CGSS,2023,all,7015,0.3777,0.205,0.0,1.0
CGSS,2023,female,3581,0.3515,0.2127,0.0,1.0
CGSS,2023,male,3434,0.4051,0.1928,0.0,1.0
CGSS,2021,all,8131,0.3946,0.2011,0.0,1.0
CGSS,2021,female,4454,0.3811,0.2126,0.0,1.0
CGSS,2021,male,3677,0.411,0.185,0.0,1.0
