year,edu_group,gender,n,mean_ideation
2014,none,male,1949,0.6431
2014,none,female,4396,0.6644
2014,primary,male,2818,0.6368
2014,primary,female,2719,0.658
2014,lower-sec,male,5458,0.5895
2014,lower-sec,female,4287,0.5958
2014,upper-sec,male,2742,0.5538
2014,upper-sec,female,2275,0.5124
2014,college,male,1598,0.5207
2014,college,female,1432,0.4633
2014,postgrad,male,51,0.5539
2014,postgrad,female,42,0.4583
2020,none,male,798,0.6505
2020,none,female,1973,0.6484
2020,primary,male,1637,0.6253
2020,primary,female,1606,0.6423
2020,lower-sec,male,3831,0.561
2020,lower-sec,female,3140,0.5407
2020,upper-sec,male,2327,0.5154
2020,upper-sec,female,1830,0.4453
2020,college,male,2039,0.453
2020,college,female,2021,0.3354
2020,postgrad,male,108,0.4358
2020,postgrad,female,95,0.2329
