year,model,n,term,coef,se,t
2014,A: child_eduy ~ parents,5343,const,12.4234,0.2691,46.16
2014,A: child_eduy ~ parents,5343,mother_ideation,-0.8122,0.3277,-2.48
2014,A: child_eduy ~ parents,5343,father_ideation,-1.89,0.3054,-6.19
2014,A: child_eduy ~ parents,5343,child_female,0.8459,0.1002,8.44
2014,A: child_eduy ~ parents,5343,age_c,-0.4713,0.0616,-7.65
2014,A: child_eduy ~ parents,5343,age_c2,-0.6733,0.058,-11.61
2014,B: + gendered allocation,5343,const,12.3553,0.3415,36.18
2014,B: + gendered allocation,5343,mother_ideation,-0.7471,0.4195,-1.78
2014,B: + gendered allocation,5343,father_ideation,-1.8499,0.3953,-4.68
2014,B: + gendered allocation,5343,child_female,1.0116,0.5198,1.95
2014,B: + gendered allocation,5343,mother_x_daughter,-0.1654,0.6713,-0.25
2014,B: + gendered allocation,5343,father_x_daughter,-0.0962,0.6212,-0.15
2014,B: + gendered allocation,5343,age_c,-0.472,0.0617,-7.66
2014,B: + gendered allocation,5343,age_c2,-0.6732,0.058,-11.61
2020,A: child_eduy ~ parents,3980,const,15.3371,0.2382,64.39
2020,A: child_eduy ~ parents,3980,mother_ideation,-2.0664,0.2858,-7.23
2020,A: child_eduy ~ parents,3980,father_ideation,-2.2679,0.2831,-8.01
2020,A: child_eduy ~ parents,3980,child_female,0.7443,0.0972,7.66
2020,A: child_eduy ~ parents,3980,age_c,-0.0935,0.0607,-1.54
2020,A: child_eduy ~ parents,3980,age_c2,-1.1242,0.0588,-19.11
2020,B: + gendered allocation,3980,const,15.4375,0.3106,49.71
2020,B: + gendered allocation,3980,mother_ideation,-2.3506,0.3908,-6.01
2020,B: + gendered allocation,3980,father_ideation,-2.1416,0.3757,-5.7
2020,B: + gendered allocation,3980,child_female,0.5422,0.445,1.22
2020,B: + gendered allocation,3980,mother_x_daughter,0.6061,0.5679,1.07
2020,B: + gendered allocation,3980,father_x_daughter,-0.2856,0.5705,-0.5
2020,B: + gendered allocation,3980,age_c,-0.0907,0.0608,-1.49
2020,B: + gendered allocation,3980,age_c2,-1.1233,0.0588,-19.09
