program,wave,variable,n,pearson_r,p,note
ACWF,1990,edu_yrs,23722,-0.2276,2.955e-276,
ACWF,1990,employed,21001,,,constant_input
ACWF,1990,income,11203,-0.0314,0.0008999,
ACWF,2000,edu_yrs,19183,-0.1584,5.055e-108,
ACWF,2000,employed,19261,0.0831,6.979e-31,
ACWF,2000,income,17360,-0.0246,0.001174,
ACWF,2010,edu_yrs,26021,-0.2597,0.0,
ACWF,2010,employed,26019,0.0415,2.089e-11,
ACWF,2010,income,25932,0.0058,0.3464,
CFPS,2014,edu_yrs,13792,-0.2729,4.371e-234,
CFPS,2014,employed,9292,0.0378,0.0002668,
CFPS,2014,income,8110,-0.1693,3.48e-53,
CFPS,2020,edu_yrs,22345,-0.4193,0.0,
CFPS,2020,employed,16577,0.0514,3.441e-11,
CFPS,2020,income,10177,-0.0943,1.586e-21,
CGSS,2010,edu_yrs,11749,-0.3368,1.935e-309,
CGSS,2010,employed,11758,0.0149,0.1052,
CGSS,2010,income,11761,-0.0919,1.708e-23,
CGSS,2012,edu_yrs,11753,-0.2981,8.572e-240,
CGSS,2012,employed,11752,0.008,0.3869,
CGSS,2012,income,11755,-0.0351,0.0001431,
CGSS,2013,edu_yrs,11421,-0.2542,6.976e-168,
CGSS,2013,employed,11422,-0.0012,0.9012,
CGSS,2013,income,11424,-0.041,1.154e-05,
CGSS,2015,edu_yrs,10934,-0.3101,2.053e-242,
CGSS,2015,employed,10951,-0.0349,0.0002624,
CGSS,2015,income,10349,-0.0859,2.11e-18,
CGSS,2017,edu_yrs,12558,-0.3704,0.0,
CGSS,2017,employed,12558,-0.0341,0.0001334,
CGSS,2017,income,12556,-0.1216,1.446e-42,
CGSS,2018,edu_yrs,12737,-0.3613,0.0,
CGSS,2018,employed,12766,-0.0384,1.456e-05,
CGSS,2018,income,12764,-0.1238,9.021e-45,
CGSS,2021,edu_yrs,8110,-0.446,0.0,
CGSS,2021,employed,8131,-0.0495,8.006e-06,
CGSS,2021,income,8131,-0.097,1.876e-18,
CGSS,2023,edu_yrs,7015,-0.3962,2.585e-262,
CGSS,2023,employed,5577,-0.0305,0.0229,
CGSS,2023,income,7013,-0.104,2.584e-18,
