program,wave,variable,n,pearson_r,ci_lo,ci_hi,p
CFPS,2014,edu_yrs,13792,-0.27290,-0.28828,-0.25738,0.00000
CFPS,2020,edu_yrs,22345,-0.41933,-0.43008,-0.40846,0.00000
CFPS,2014,log_income,8110,-0.16926,-0.19032,-0.14804,0.00000
CFPS,2020,log_income,10177,-0.09426,-0.11348,-0.07497,0.00000
CFPS,2014,employed,9292,0.03781,0.01749,0.05810,0.00027
CFPS,2020,employed,16577,0.05144,0.03624,0.06661,0.00000
CFPS,2014,female,13810,0.00719,-0.00949,0.02386,0.39828
CFPS,2020,female,22692,-0.06461,-0.07756,-0.05164,0.00000
CFPS,2014,urban,13791,-0.10682,-0.12329,-0.09029,0.00000
CFPS,2020,urban,22595,-0.14602,-0.15876,-0.13324,0.00000
CGSS,2010,edu_yrs,11749,-0.33677,-0.35270,-0.32064,0.00000
CGSS,2012,edu_yrs,11753,-0.29809,-0.31448,-0.28153,0.00000
CGSS,2013,edu_yrs,11421,-0.25419,-0.27127,-0.23695,0.00000
CGSS,2015,edu_yrs,10934,-0.31014,-0.32699,-0.29310,0.00000
CGSS,2017,edu_yrs,12558,-0.37037,-0.38536,-0.35518,0.00000
CGSS,2018,edu_yrs,12737,-0.36127,-0.37628,-0.34608,0.00000
CGSS,2021,edu_yrs,8110,-0.44602,-0.46329,-0.42842,0.00000
CGSS,2023,edu_yrs,7015,-0.39615,-0.41570,-0.37624,0.00000
CGSS,2010,log_income,10144,-0.12779,-0.14688,-0.10860,0.00000
CGSS,2012,log_income,10623,-0.09073,-0.10956,-0.07183,0.00000
CGSS,2013,log_income,10229,-0.06627,-0.08554,-0.04695,0.00000
CGSS,2015,log_income,10349,-0.08588,-0.10497,-0.06672,0.00000
CGSS,2017,log_income,11880,-0.13707,-0.15467,-0.11938,0.00000
CGSS,2018,log_income,12091,-0.13309,-0.15056,-0.11554,0.00000
CGSS,2021,log_income,7317,-0.09988,-0.12251,-0.07714,0.00000
CGSS,2023,log_income,6665,-0.10093,-0.12463,-0.07711,0.00000
CGSS,2010,employed,11758,0.01494,-0.00313,0.03301,0.10520
CGSS,2012,employed,11752,0.00798,-0.01010,0.02606,0.38691
CGSS,2013,employed,11422,-0.00116,-0.01950,0.01718,0.90116
CGSS,2015,employed,10951,-0.03487,-0.05357,-0.01615,0.00026
CGSS,2017,employed,12558,-0.03408,-0.05154,-0.01660,0.00013
CGSS,2018,employed,12766,-0.03836,-0.05567,-0.02103,0.00001
CGSS,2021,employed,8131,-0.04949,-0.07115,-0.02779,0.00001
CGSS,2023,employed,5577,-0.03047,-0.05667,-0.00422,0.02290
CGSS,2010,female,11761,-0.03028,-0.04833,-0.01221,0.00102
CGSS,2012,female,11755,-0.04770,-0.06572,-0.02965,0.00000
CGSS,2013,female,11424,-0.06136,-0.07961,-0.04307,0.00000
CGSS,2015,female,10951,-0.05309,-0.07174,-0.03439,0.00000
CGSS,2017,female,12558,-0.08914,-0.10647,-0.07176,0.00000
CGSS,2018,female,12766,-0.06869,-0.08594,-0.05141,0.00000
CGSS,2021,female,8131,-0.07392,-0.09550,-0.05227,0.00000
CGSS,2023,female,7015,-0.13076,-0.15369,-0.10768,0.00000
CGSS,2010,urban,11734,-0.23084,-0.24790,-0.21364,0.00000
CGSS,2012,urban,11013,-0.20219,-0.22004,-0.18421,0.00000
CGSS,2013,urban,10976,-0.15792,-0.17611,-0.13963,0.00000
CGSS,2015,urban,10931,-0.19914,-0.21708,-0.18107,0.00000
CGSS,2017,urban,12505,-0.25300,-0.26934,-0.23653,0.00000
CGSS,2018,urban,12734,-0.22381,-0.24025,-0.20725,0.00000
CGSS,2021,urban,8038,-0.22620,-0.24684,-0.20535,0.00000
CGSS,2023,urban,6992,-0.20215,-0.22453,-0.17956,0.00000
ACWF,1990,edu_yrs,23722,-0.22756,-0.23960,-0.21546,0.00000
ACWF,2000,edu_yrs,19183,-0.15841,-0.17218,-0.14459,0.00000
ACWF,2010,edu_yrs,26021,-0.25965,-0.27095,-0.24829,0.00000
ACWF,1990,log_income,11203,-0.03136,-0.04985,-0.01285,0.00090
ACWF,2000,log_income,17360,-0.02463,-0.03949,-0.00976,0.00117
ACWF,2010,log_income,25932,0.00585,-0.00632,0.01802,0.34640
ACWF,1990,employed,21001,,,,
ACWF,2000,employed,19261,0.08312,0.06908,0.09713,0.00000
ACWF,2010,employed,26019,0.04152,0.02938,0.05364,0.00000
ACWF,1990,female,23722,-0.06165,-0.07432,-0.04896,0.00000
ACWF,2000,female,19283,-0.08410,-0.09810,-0.07007,0.00000
ACWF,2010,female,26021,-0.08254,-0.09460,-0.07046,0.00000
ACWF,1990,urban,23722,-0.19075,-0.20298,-0.17846,0.00000
ACWF,2000,urban,19251,-0.08536,-0.09937,-0.07132,0.00000
ACWF,2010,urban,26011,-0.19161,-0.20329,-0.17987,0.00000
