program,cohort,contrast,n_a,n_b,mean_a,mean_b,diff,welch_t,welch_df,p,ci95_lo,ci95_hi,cohens_d,hedges_g
ACWF,1930-1949,F - M,6217,6034,0.42209,0.43275,-0.01066,-3.49545,12246.70025,0.00047,-0.01664,-0.00468,-0.06315,-0.06315
ACWF,1950-1959,F - M,9452,8634,0.42718,0.44246,-0.01528,-6.46266,18060.10851,0.00000,-0.01992,-0.01065,-0.09597,-0.09597
ACWF,1960-1969,F - M,10981,9362,0.40910,0.43706,-0.02797,-12.32816,19789.36178,0.00000,-0.03241,-0.02352,-0.17352,-0.17351
ACWF,1970-1979,F - M,6497,5525,0.38508,0.42325,-0.03817,-13.54911,11756.65572,0.00000,-0.04369,-0.03265,-0.24770,-0.24769
ACWF,1980-1989,F - M,2470,2186,0.38180,0.43461,-0.05281,-12.69039,4630.08261,0.00000,-0.06097,-0.04465,-0.37151,-0.37145
ACWF,1990-2005,F - M,344,422,0.38407,0.45871,-0.07464,-7.58862,676.22998,0.00000,-0.09395,-0.05533,-0.56023,-0.55968
CFPS,1930-1949,F - M,1903,2099,0.63879,0.61595,0.02285,4.75274,3996.36778,0.00000,0.01342,0.03227,0.14994,0.14991
CFPS,1950-1959,F - M,2766,2792,0.64022,0.61689,0.02333,5.70198,5548.65268,0.00000,0.01531,0.03136,0.15294,0.15291
CFPS,1960-1969,F - M,3562,3467,0.63532,0.60195,0.03337,8.71887,6977.97361,0.00000,0.02587,0.04087,0.20817,0.20815
CFPS,1970-1979,F - M,3090,3146,0.57758,0.56676,0.01081,2.35610,6229.91968,0.01850,0.00182,0.01981,0.05968,0.05967
CFPS,1980-1989,F - M,3270,3314,0.50085,0.55079,-0.04995,-10.57803,6529.55843,0.00000,-0.05920,-0.04069,-0.26087,-0.26084
CFPS,1990-2005,F - M,3545,3347,0.38091,0.47787,-0.09696,-20.32497,6858.74534,0.00000,-0.10631,-0.08761,-0.48810,-0.48805
CGSS,1930-1949,F - M,7492,7560,0.46636,0.45467,0.01169,4.07929,15018.06210,0.00005,0.00607,0.01731,0.06651,0.06651
CGSS,1950-1959,F - M,8637,8388,0.46711,0.46501,0.00210,0.78609,17020.81766,0.43183,-0.00314,0.00734,0.01204,0.01204
CGSS,1960-1969,F - M,9492,8531,0.45206,0.45828,-0.00622,-2.38824,17995.06409,0.01694,-0.01132,-0.00111,-0.03550,-0.03550
CGSS,1970-1979,F - M,8313,7258,0.40449,0.43280,-0.02831,-9.94827,15505.03426,0.00000,-0.03389,-0.02273,-0.15904,-0.15904
CGSS,1980-1989,F - M,6583,5652,0.34193,0.41296,-0.07103,-22.32197,12149.79376,0.00000,-0.07727,-0.06479,-0.40264,-0.40262
CGSS,1990-2005,F - M,3889,3811,0.25293,0.37294,-0.12001,-30.13662,7695.75362,0.00000,-0.12781,-0.11220,-0.68689,-0.68682
