program,cohort,n_female,n_male,mean_female,mean_male,F_minus_M,welch_t
ACWF,1930-1949,6217,6034,0.4221,0.4327,-0.0107,-3.5
ACWF,1950-1959,9452,8634,0.4272,0.4425,-0.0153,-6.46
ACWF,1960-1969,10981,9362,0.4091,0.4371,-0.028,-12.33
ACWF,1970-1979,6497,5525,0.3851,0.4232,-0.0382,-13.55
ACWF,1980-1989,2470,2186,0.3818,0.4346,-0.0528,-12.69
ACWF,1990-2005,344,422,0.3841,0.4587,-0.0746,-7.59
CFPS,1930-1949,1903,2099,0.6388,0.6159,0.0228,4.75
CFPS,1950-1959,2766,2792,0.6402,0.6169,0.0233,5.7
CFPS,1960-1969,3562,3467,0.6353,0.6019,0.0334,8.72
CFPS,1970-1979,3090,3146,0.5776,0.5668,0.0108,2.36
CFPS,1980-1989,3270,3314,0.5008,0.5508,-0.0499,-10.58
CFPS,1990-2005,3545,3347,0.3809,0.4779,-0.097,-20.32
CGSS,1930-1949,7492,7560,0.4664,0.4547,0.0117,4.08
CGSS,1950-1959,8637,8388,0.4671,0.465,0.0021,0.79
CGSS,1960-1969,9492,8531,0.4521,0.4583,-0.0062,-2.39
CGSS,1970-1979,8313,7258,0.4045,0.4328,-0.0283,-9.95
CGSS,1980-1989,6583,5652,0.3419,0.413,-0.071,-22.32
CGSS,1990-2005,3889,3811,0.2529,0.3729,-0.12,-30.14
