term,coef,se_classical,t_classical,p_classical,se_hc1,t_hc1,p_hc1,sex_stratum
const,0.1939199484493886,0.013333157574879632,14.544187853501706,7.255505664018765e-47,0.01485885047741053,13.050804215588467,3.0876087131892774e-38,female
urban_2014,-0.07874558426526743,0.006244470225996576,-12.610450753282302,7.429095937910378e-36,0.0065701518489524055,-11.985352252980784,1.324163430892959e-32,female
age_2014,0.003945597287027258,0.00024510992761124837,16.097256139233547,9.981057387281603e-57,0.00024932412734240847,15.825172353289839,6.181177827953577e-55,female
had_new_birth,-0.010823917344328459,0.009111335304277404,-1.1879616963769368,0.23491122426122166,0.010141342691801877,-1.0673061421224672,0.28589089538401147,female
lost_job,0.0375350559935763,0.024541523659028106,1.529450922244115,0.12622301512502596,0.025245167741657554,1.486821413812167,0.137132074402425,female
entered_work,-0.027478310441529697,0.022849745402007314,-1.202565278434821,0.229207890030747,0.028962722551549903,-0.9487474940459121,0.34280002170726254,female
entered_marriage,-0.037269065560665476,0.01296100979679827,-2.8754754563855025,0.004053146010149141,0.014730169981324362,-2.5301178199516734,0.011436268955753308,female
divorced,-0.028525360758288144,0.020717215831634224,-1.376891614689424,0.16861428292414318,0.02382003369476667,-1.1975365410400527,0.2311605969292653,female
widowed,0.010125843879494176,0.016809728138310564,0.6023799906922146,0.5469515909629041,0.015150542204767702,0.6683486137088981,0.5039453830441502,female
delta_household_n,-0.001524789669130199,0.0014668436475076567,-1.0395038842217434,0.29862632548747486,0.001511249854428889,-1.0089593488869977,0.3130484022259957,female
delta_edu_yrs,-0.00030914731341805145,0.0016426683565365482,-0.18819825206219168,0.8507297322888858,0.0017554655505533673,-0.17610559963468542,0.8602189095813688,female
ideation_2014,-0.6330895116960152,0.01492932452089266,-42.4057706569407,0.0,0.01655004117629071,-38.253047527336065,1.9042049664056586e-277,female
