group_var,group,n,mean_delta,se,ci_lo,ci_hi,share_progressive,share_traditional,share_stable,sex_stratum
female,0.0,7760,-0.01837951030927835,0.0022529404183842198,-0.022611482495704462,-0.01405726481958763,0.4466494845360825,0.37036082474226806,0.18298969072164947,all
female,1.0,8099,-0.041885315059472364,0.002142916051442526,-0.04597108182080092,-0.037761284829402816,0.48931966909495,0.32683047289788864,0.1838498580071614,all
cohort,1930-1949,1391,-0.012386173017014137,0.005018693210008253,-0.022271147855260003,-0.001721258686796072,0.41984184040258804,0.36304816678648455,0.21710999281092738,all
cohort,1950-1959,2780,-0.012537470023980818,0.0034758255280248587,-0.019297624400479614,-0.005882231714628298,0.42302158273381296,0.3726618705035971,0.20431654676258992,all
cohort,1960-1969,3721,-0.011931156499148972,0.003031971131138498,-0.017150407596524232,-0.006174975365045239,0.4125235151840903,0.3735554958344531,0.2139209889814566,all
cohort,1970-1979,3228,-0.03068850681536555,0.0034110620314120404,-0.03689800831268071,-0.024071116016109048,0.4742874845105328,0.34944237918215615,0.17627013630731103,all
cohort,1980-1989,2801,-0.05093419017017733,0.0038877055765585465,-0.05846368112578841,-0.04283235897893609,0.5355230274901821,0.3159585862192074,0.1485183862906105,all
cohort,1990-2005,1934,-0.07433859014133057,0.004969668613208495,-0.08366242244053776,-0.06404849620820408,0.5698035160289555,0.297311271975181,0.1328852119958635,all
urban_2014,0.0,11623,-0.02639163727092833,0.001796871828545643,-0.029833313616679572,-0.02291599450801572,0.45556224726834726,0.3519745332530328,0.19246321947861997,all
urban_2014,1.0,4214,-0.041197002056636615,0.0031057318899779147,-0.046981910496756846,-0.03508135085429521,0.5030849549121974,0.33768391077361176,0.15923113431419078,all
