wave,subgroup,n,pearson_r
2014,all,10841,0.2247
2014,wife_birth_decade=1930,214,0.3091
2014,wife_birth_decade=1940,1051,0.2348
2014,wife_birth_decade=1950,2273,0.2378
2014,wife_birth_decade=1960,2802,0.2199
2014,wife_birth_decade=1970,2274,0.1758
2014,wife_birth_decade=1980,1834,0.2127
2014,wife_birth_decade=1990,389,0.1487
2014,couple_urban=0,7332,0.2058
2014,couple_urban=1,3509,0.2234
2014,wife_edu_tertile=low,3623,0.2
2014,wife_edu_tertile=mid,5282,0.1949
2014,wife_edu_tertile=high,1932,0.2026
2020,all,6624,0.2365
2020,wife_birth_decade=1940,315,0.2974
2020,wife_birth_decade=1950,1023,0.1862
2020,wife_birth_decade=1960,1572,0.2122
2020,wife_birth_decade=1970,1487,0.1721
2020,wife_birth_decade=1980,1461,0.1382
2020,wife_birth_decade=1990,721,0.2249
2020,couple_urban=0,4349,0.1993
2020,couple_urban=1,2275,0.2329
2020,wife_edu_tertile=low,2651,0.146
2020,wife_edu_tertile=mid,2117,0.0867
2020,wife_edu_tertile=high,1768,0.2094
