wave,dimension,ideation_predictor,ideation_tertile,match_type,n,n_in_tertile,pct
2014,age,wife,low,hypergamy,1398,3878,36.05
2014,age,wife,low,homogamy,2338,3878,60.29
2014,age,wife,low,hypogamy,142,3878,3.66
2014,age,wife,mid,hypergamy,2194,6060,36.2
2014,age,wife,mid,homogamy,3579,6060,59.06
2014,age,wife,mid,hypogamy,287,6060,4.74
2014,age,wife,high,hypergamy,298,903,33.0
2014,age,wife,high,homogamy,565,903,62.57
2014,age,wife,high,hypogamy,40,903,4.43
2014,age,husband,low,hypergamy,1608,4532,35.48
2014,age,husband,low,homogamy,2734,4532,60.33
2014,age,husband,low,hypogamy,190,4532,4.19
2014,age,husband,mid,hypergamy,1035,2878,35.96
2014,age,husband,mid,homogamy,1721,2878,59.8
2014,age,husband,mid,hypogamy,122,2878,4.24
2014,age,husband,high,hypergamy,1247,3431,36.35
2014,age,husband,high,homogamy,2027,3431,59.08
2014,age,husband,high,hypogamy,157,3431,4.58
2014,edu,wife,low,hypergamy,1293,3877,33.35
2014,edu,wife,low,homogamy,1894,3877,48.85
2014,edu,wife,low,hypogamy,690,3877,17.8
2014,edu,wife,mid,hypergamy,2596,6056,42.87
2014,edu,wife,mid,homogamy,2686,6056,44.35
2014,edu,wife,mid,hypogamy,774,6056,12.78
2014,edu,wife,high,hypergamy,399,903,44.19
2014,edu,wife,high,homogamy,388,903,42.97
2014,edu,wife,high,hypogamy,116,903,12.85
2014,edu,husband,low,hypergamy,1813,4528,40.04
2014,edu,husband,low,homogamy,2077,4528,45.87
2014,edu,husband,low,hypogamy,638,4528,14.09
2014,edu,husband,mid,hypergamy,1163,2877,40.42
2014,edu,husband,mid,homogamy,1297,2877,45.08
2014,edu,husband,mid,hypogamy,417,2877,14.49
2014,edu,husband,high,hypergamy,1312,3431,38.24
2014,edu,husband,high,homogamy,1594,3431,46.46
2014,edu,husband,high,hypogamy,525,3431,15.3
2014,inc,wife,low,hypergamy,246,834,29.5
2014,inc,wife,low,homogamy,528,834,63.31
2014,inc,wife,low,hypogamy,60,834,7.19
2014,inc,wife,mid,hypergamy,253,714,35.43
2014,inc,wife,mid,homogamy,423,714,59.24
2014,inc,wife,mid,hypogamy,38,714,5.32
2014,inc,wife,high,hypergamy,38,95,40.0
2014,inc,wife,high,homogamy,53,95,55.79
2014,inc,wife,high,hypogamy,4,95,4.21
2014,inc,husband,low,hypergamy,274,877,31.24
2014,inc,husband,low,homogamy,540,877,61.57
2014,inc,husband,low,hypogamy,63,877,7.18
2014,inc,husband,mid,hypergamy,134,387,34.63
2014,inc,husband,mid,homogamy,233,387,60.21
2014,inc,husband,mid,hypogamy,20,387,5.17
2014,inc,husband,high,hypergamy,129,379,34.04
2014,inc,husband,high,homogamy,231,379,60.95
2014,inc,husband,high,hypogamy,19,379,5.01
2020,age,wife,low,hypergamy,839,2681,31.29
2020,age,wife,low,homogamy,1732,2681,64.6
2020,age,wife,low,hypogamy,110,2681,4.1
2020,age,wife,mid,hypergamy,713,2153,33.12
2020,age,wife,mid,homogamy,1359,2153,63.12
2020,age,wife,mid,hypogamy,81,2153,3.76
2020,age,wife,high,hypergamy,606,1762,34.39
2020,age,wife,high,homogamy,1057,1762,59.99
2020,age,wife,high,hypogamy,99,1762,5.62
2020,age,husband,low,hypergamy,785,2586,30.36
2020,age,husband,low,homogamy,1688,2586,65.27
2020,age,husband,low,hypogamy,113,2586,4.37
2020,age,husband,mid,hypergamy,777,2354,33.01
2020,age,husband,mid,homogamy,1482,2354,62.96
2020,age,husband,mid,hypogamy,95,2354,4.04
2020,age,husband,high,hypergamy,596,1656,35.99
2020,age,husband,high,homogamy,978,1656,59.06
2020,age,husband,high,hypogamy,82,1656,4.95
2020,edu,wife,low,hypergamy,736,2641,27.87
2020,edu,wife,low,homogamy,1373,2641,51.99
2020,edu,wife,low,hypogamy,532,2641,20.14
2020,edu,wife,mid,hypergamy,841,2102,40.01
2020,edu,wife,mid,homogamy,950,2102,45.2
2020,edu,wife,mid,hypogamy,311,2102,14.8
2020,edu,wife,high,hypergamy,854,1706,50.06
2020,edu,wife,high,homogamy,697,1706,40.86
2020,edu,wife,high,hypogamy,155,1706,9.09
2020,edu,husband,low,hypergamy,883,2543,34.72
2020,edu,husband,low,homogamy,1257,2543,49.43
2020,edu,husband,low,hypogamy,403,2543,15.85
2020,edu,husband,mid,hypergamy,963,2301,41.85
2020,edu,husband,mid,homogamy,1014,2301,44.07
2020,edu,husband,mid,hypogamy,324,2301,14.08
2020,edu,husband,high,hypergamy,585,1605,36.45
2020,edu,husband,high,homogamy,749,1605,46.67
2020,edu,husband,high,hypogamy,271,1605,16.88
2020,inc,wife,low,hypergamy,376,1106,34.0
2020,inc,wife,low,homogamy,655,1106,59.22
2020,inc,wife,low,hypogamy,75,1106,6.78
2020,inc,wife,mid,hypergamy,202,477,42.35
2020,inc,wife,mid,homogamy,248,477,51.99
2020,inc,wife,mid,hypogamy,27,477,5.66
2020,inc,wife,high,hypergamy,136,282,48.23
2020,inc,wife,high,homogamy,129,282,45.74
2020,inc,wife,high,hypogamy,17,282,6.03
2020,inc,husband,low,hypergamy,326,934,34.9
2020,inc,husband,low,homogamy,552,934,59.1
2020,inc,husband,low,hypogamy,56,934,6.0
2020,inc,husband,mid,hypergamy,261,633,41.23
2020,inc,husband,mid,homogamy,328,633,51.82
2020,inc,husband,mid,hypogamy,44,633,6.95
2020,inc,husband,high,hypergamy,127,298,42.62
2020,inc,husband,high,homogamy,152,298,51.01
2020,inc,husband,high,hypogamy,19,298,6.38
