wave,dimension,match_type,predictor,n,coef,se,t,p
2014,age,hypergamy,wife_ideation,10809,-0.0838,0.02951,-2.839,0.00453
2014,age,hypergamy,husband_ideation,10809,-0.0008,0.02766,-0.029,0.97705
2014,age,homogamy,wife_ideation,10809,0.06311,0.03013,2.095,0.03622
2014,age,homogamy,husband_ideation,10809,0.00751,0.02834,0.265,0.79105
2014,age,hypogamy,wife_ideation,10809,0.02069,0.01212,1.707,0.08776
2014,age,hypogamy,husband_ideation,10809,-0.00671,0.01174,-0.572,0.56744
2014,edu,hypergamy,wife_ideation,10809,0.22042,0.02893,7.62,0.0
2014,edu,hypergamy,husband_ideation,10809,-0.09204,0.028,-3.287,0.00101
2014,edu,homogamy,wife_ideation,10809,-0.09827,0.03064,-3.207,0.00135
2014,edu,homogamy,husband_ideation,10809,0.04144,0.02883,1.438,0.1506
2014,edu,hypogamy,wife_ideation,10809,-0.12215,0.0231,-5.287,0.0
2014,edu,hypogamy,husband_ideation,10809,0.05061,0.02052,2.466,0.01368
2014,inc,hypergamy,wife_ideation,1634,0.08634,0.06717,1.285,0.19883
2014,inc,hypergamy,husband_ideation,1634,0.01076,0.06575,0.164,0.87004
2014,inc,homogamy,wife_ideation,1634,-0.02131,0.07052,-0.302,0.76252
2014,inc,homogamy,husband_ideation,1634,0.04632,0.06869,0.674,0.50015
2014,inc,hypogamy,wife_ideation,1634,-0.06503,0.03656,-1.778,0.07552
2014,inc,hypogamy,husband_ideation,1634,-0.05708,0.03545,-1.61,0.10758
2020,age,hypergamy,wife_ideation,6389,-0.00838,0.03432,-0.244,0.80717
2020,age,hypergamy,husband_ideation,6389,0.08148,0.03471,2.347,0.01894
2020,age,homogamy,wife_ideation,6389,-0.00841,0.03542,-0.237,0.81242
2020,age,homogamy,husband_ideation,6389,-0.07383,0.0359,-2.057,0.03977
2020,age,hypogamy,wife_ideation,6389,0.01678,0.0154,1.09,0.27581
2020,age,hypogamy,husband_ideation,6389,-0.00765,0.01577,-0.485,0.62743
2020,edu,hypergamy,wife_ideation,6389,0.28783,0.03432,8.387,0.0
2020,edu,hypergamy,husband_ideation,6389,-0.0121,0.03426,-0.353,0.72407
2020,edu,homogamy,wife_ideation,6389,-0.12692,0.03624,-3.502,0.00046
2020,edu,homogamy,husband_ideation,6389,-0.03827,0.03652,-1.048,0.29474
2020,edu,hypogamy,wife_ideation,6389,-0.16091,0.02667,-6.034,0.0
2020,edu,hypogamy,husband_ideation,6389,0.05037,0.02728,1.846,0.06492
2020,inc,hypergamy,wife_ideation,1796,0.24781,0.06585,3.763,0.00017
2020,inc,hypergamy,husband_ideation,1796,0.13281,0.06585,2.017,0.04386
2020,inc,homogamy,wife_ideation,1796,-0.20876,0.06633,-3.147,0.00167
2020,inc,homogamy,husband_ideation,1796,-0.11589,0.06741,-1.719,0.08576
2020,inc,hypogamy,wife_ideation,1796,-0.03905,0.03147,-1.241,0.21485
2020,inc,hypogamy,husband_ideation,1796,-0.01692,0.03101,-0.546,0.58545
