wave,parent,parent_id_tertile,child,n,mean_child_edu,sd_child_edu
2014,mother,low,daughter,979,11.521,3.485
2014,mother,low,son,1590,10.474,3.639
2014,mother,mid,daughter,815,11.178,3.335
2014,mother,mid,son,1603,10.127,3.335
2014,mother,high,daughter,188,11.362,2.986
2014,mother,high,son,374,10.345,3.391
2014,father,low,daughter,805,11.769,3.204
2014,father,low,son,1299,10.713,3.4
2014,father,mid,daughter,1032,11.104,3.4
2014,father,mid,son,1990,10.054,3.505
2014,father,high,daughter,145,10.979,3.961
2014,father,high,son,278,10.191,3.54
2020,mother,low,daughter,679,13.143,3.066
2020,mother,low,son,918,12.307,3.128
2020,mother,mid,daughter,845,12.472,3.164
2020,mother,mid,son,1310,11.54,3.255
2020,mother,high,daughter,147,12.993,3.044
2020,mother,high,son,204,11.382,3.601
2020,father,low,daughter,624,13.21,3.005
2020,father,low,son,791,12.332,3.054
2020,father,mid,daughter,600,12.81,2.984
2020,father,mid,son,911,11.861,3.275
2020,father,high,daughter,447,12.179,3.387
2020,father,high,son,730,11.201,3.356
