wave,outcome,n,mean,sd
2010,age_first_marriage,6313,28.9306,9.303
2010,num_children,11643,1.7705,1.3432
2010,ideal_children,11498,2.0279,1.0017
2010,log_income,10142,8.206,3.1461
2010,weekly_hours,6701,49.8269,20.8528
2010,edu_yrs,11739,7.001,5.0006
2010,ever_married,11749,0.9023,0.2969
2010,employed,11746,0.6391,0.4803
2010,mgmt_activity,4571,0.2689,0.4434
2010,soe_indicator,3723,0.3634,0.481
2010,marriage_sat,0,,
2012,age_first_marriage,6261,28.6544,9.2189
2012,num_children,11741,1.7841,1.3519
2012,ideal_children,0,,
2012,log_income,10618,8.6171,2.9056
2012,weekly_hours,7140,49.5542,19.6637
2012,edu_yrs,11745,7.0232,5.0632
2012,ever_married,11747,0.9034,0.2955
2012,employed,11744,0.6387,0.4804
2012,mgmt_activity,4628,0.269,0.4435
2012,soe_indicator,4383,0.2859,0.4519
2012,marriage_sat,0,,
2013,age_first_marriage,5547,29.8026,9.6033
2013,num_children,11390,1.701,1.2844
2013,ideal_children,0,,
2013,log_income,10226,8.5164,3.2564
2013,weekly_hours,6681,48.9672,18.8451
2013,edu_yrs,11417,7.1219,5.0848
2013,ever_married,11397,0.8902,0.3126
2013,employed,11418,0.6256,0.484
2013,mgmt_activity,4583,0.2374,0.4255
2013,soe_indicator,2710,0.4834,0.4998
2013,marriage_sat,0,,
2015,age_first_marriage,4871,29.9955,9.6763
2015,num_children,10936,1.7302,1.3024
2015,ideal_children,10484,2.0945,0.9525
2015,log_income,10348,8.2202,3.7507
2015,weekly_hours,5381,47.542,20.5352
2015,edu_yrs,10932,7.0399,5.1814
2015,ever_married,10951,0.8899,0.3131
2015,employed,10951,0.5725,0.4947
2015,mgmt_activity,3943,0.2589,0.4381
2015,soe_indicator,2307,0.4239,0.4943
2015,marriage_sat,100,3.7,1.2019
2017,age_first_marriage,6373,28.7201,8.9401
2017,num_children,12529,1.6928,1.2633
2017,ideal_children,12012,2.0472,0.9455
2017,log_income,11872,8.3494,3.847
2017,weekly_hours,11589,1.2567,8.4272
2017,edu_yrs,12555,7.48,5.317
2017,ever_married,12555,0.8764,0.3292
2017,employed,12555,0.5594,0.4965
2017,mgmt_activity,4751,0.305,0.4605
2017,soe_indicator,2859,0.3834,0.4863
2017,marriage_sat,3081,4.0351,0.6582
2018,age_first_marriage,5720,30.1259,9.6061
2018,num_children,12732,1.687,1.2387
2018,ideal_children,12181,2.0442,0.975
2018,log_income,12081,8.3863,3.867
2018,weekly_hours,11955,1.1113,7.6246
2018,edu_yrs,12732,7.2786,5.3515
2018,ever_married,12761,0.8779,0.3274
2018,employed,12761,0.5397,0.4984
2018,mgmt_activity,4706,0.2847,0.4513
2018,soe_indicator,2816,0.3821,0.486
2018,marriage_sat,0,,
2021,age_first_marriage,3754,28.4366,8.9625
2021,num_children,0,,
2021,ideal_children,7791,2.048,0.957
2021,log_income,7322,8.0816,4.2279
2021,weekly_hours,186,50.5538,21.2544
2021,edu_yrs,8110,7.6776,5.2699
2021,ever_married,8131,0.8385,0.368
2021,employed,8131,0.502,0.5
2021,mgmt_activity,2803,0.2783,0.4482
2021,soe_indicator,1663,0.3722,0.4835
2021,marriage_sat,7687,4.3165,0.7075
2023,age_first_marriage,3383,26.5888,7.8836
2023,num_children,5932,1.6529,1.1277
2023,ideal_children,6863,2.0188,1.0772
2023,log_income,6647,8.6979,3.9489
2023,weekly_hours,96,48.4583,17.5169
2023,edu_yrs,7002,8.5971,5.541
2023,ever_married,7002,0.8388,0.3678
2023,employed,5583,0.5124,0.4999
2023,mgmt_activity,1765,0.2578,0.4375
2023,soe_indicator,956,0.4843,0.5
2023,marriage_sat,0,,
