wave,outcome,n_total,n_have,pct_missing
2010,age_first_marriage,11753,6313,46.3
2010,num_children,11753,11643,0.9
2010,ideal_children,11753,11498,2.2
2010,log_income,11753,10142,13.7
2010,weekly_hours,11753,6701,43.0
2010,edu_yrs,11753,11739,0.1
2010,ever_married,11753,11749,0.0
2010,employed,11753,11746,0.1
2010,mgmt_activity,11753,4571,61.1
2010,soe_indicator,11753,3723,68.3
2010,marriage_sat,11753,0,100.0
2012,age_first_marriage,11747,6261,46.7
2012,num_children,11747,11741,0.1
2012,ideal_children,11747,0,100.0
2012,log_income,11747,10618,9.6
2012,weekly_hours,11747,7140,39.2
2012,edu_yrs,11747,11745,0.0
2012,ever_married,11747,11747,0.0
2012,employed,11747,11744,0.0
2012,mgmt_activity,11747,4628,60.6
2012,soe_indicator,11747,4383,62.7
2012,marriage_sat,11747,0,100.0
2013,age_first_marriage,11420,5547,51.4
2013,num_children,11420,11390,0.3
2013,ideal_children,11420,0,100.0
2013,log_income,11420,10226,10.5
2013,weekly_hours,11420,6681,41.5
2013,edu_yrs,11420,11417,0.0
2013,ever_married,11420,11397,0.2
2013,employed,11420,11418,0.0
2013,mgmt_activity,11420,4583,59.9
2013,soe_indicator,11420,2710,76.3
2013,marriage_sat,11420,0,100.0
2015,age_first_marriage,10951,4871,55.5
2015,num_children,10951,10936,0.1
2015,ideal_children,10951,10484,4.3
2015,log_income,10951,10348,5.5
2015,weekly_hours,10951,5381,50.9
2015,edu_yrs,10951,10932,0.2
2015,ever_married,10951,10951,0.0
2015,employed,10951,10951,0.0
2015,mgmt_activity,10951,3943,64.0
2015,soe_indicator,10951,2307,78.9
2015,marriage_sat,10951,100,99.1
2017,age_first_marriage,12555,6373,49.2
2017,num_children,12555,12529,0.2
2017,ideal_children,12555,12012,4.3
2017,log_income,12555,11872,5.4
2017,weekly_hours,12555,11589,7.7
2017,edu_yrs,12555,12555,0.0
2017,ever_married,12555,12555,0.0
2017,employed,12555,12555,0.0
2017,mgmt_activity,12555,4751,62.2
2017,soe_indicator,12555,2859,77.2
2017,marriage_sat,12555,3081,75.5
2018,age_first_marriage,12761,5720,55.2
2018,num_children,12761,12732,0.2
2018,ideal_children,12761,12181,4.5
2018,log_income,12761,12081,5.3
2018,weekly_hours,12761,11955,6.3
2018,edu_yrs,12761,12732,0.2
2018,ever_married,12761,12761,0.0
2018,employed,12761,12761,0.0
2018,mgmt_activity,12761,4706,63.1
2018,soe_indicator,12761,2816,77.9
2018,marriage_sat,12761,0,100.0
2021,age_first_marriage,8131,3754,53.8
2021,num_children,8131,0,100.0
2021,ideal_children,8131,7791,4.2
2021,log_income,8131,7322,9.9
2021,weekly_hours,8131,186,97.7
2021,edu_yrs,8131,8110,0.3
2021,ever_married,8131,8131,0.0
2021,employed,8131,8131,0.0
2021,mgmt_activity,8131,2803,65.5
2021,soe_indicator,8131,1663,79.5
2021,marriage_sat,8131,7687,5.5
2023,age_first_marriage,7002,3383,51.7
2023,num_children,7002,5932,15.3
2023,ideal_children,7002,6863,2.0
2023,log_income,7002,6647,5.1
2023,weekly_hours,7002,96,98.6
2023,edu_yrs,7002,7002,0.0
2023,ever_married,7002,7002,0.0
2023,employed,7002,5583,20.3
2023,mgmt_activity,7002,1765,74.8
2023,soe_indicator,7002,956,86.3
2023,marriage_sat,7002,0,100.0
